Emittance,Beam Energy,Beam Spread,Beam Radius
2.3377656417219552,276298851118.27234,0.1,6.572740681006321
2.9757187533798994,890871072139.4623,4.49,6.807705834310518
3.147149007869666,1501394659730.6033,5.3,6.0989412519571555
3.1893117193469447,2108133548670.0237,5.67,5.525572261163602
3.239585035380366,2711069248973.012,5.91,5.275641356163051
3.325204126002049,3310209642148.2974,6.1,5.066994246258642
3.373796084749271,3905497881489.3364,6.26,4.938922919604858
3.4371005307308367,4496910393049.756,6.4,4.780025925148257
3.519092374289663,5084403781942.712,6.55,4.656946837908652
3.6002942472362083,5667895295946.771,6.69,4.580358220205893
3.495248989767654,6243799399579.604,6.82,4.332287522811917
