Uv/X-ray,Mean Theta,Critical Energy
2.720256624915513e-10,0.004805724259759296,8.75494603286213
1.4086041823638992e-05,0.0037861849864263,14.717862169710534
0.0003793695330871713,0.0035767428012464285,17.965102665494147
0.003052608543477298,0.0033804231311292555,21.705611096130653
0.011739240915354637,0.003196414627250939,25.897746415744862
0.029872400023559936,0.0030245632187892424,30.55999191291008
0.058445199315862284,0.0028671902291211677,35.57654296777371
0.09835241126842381,0.002719846501543611,41.07889395762263
0.1480999729239286,0.0025861571265915016,46.91549947592075
0.2180223010235613,0.002459583680568601,54.02917750468815
0.2951570018291504,0.0023437954897827236,61.43238071721443
0.3811000551560537,0.0022360167074900257,69.29243451804162
0.472764864842194,0.0021389886392224724,77.34557521494347
0.5701909838342877,0.002050986011747638,85.62970339756522
0.6772184873316595,0.0019677750635692663,94.47518549042847
0.7914695648369142,0.0018907414218898321,103.69251250676781
0.9107471354077455,0.0018206297091749068,113.11012152305705
1.0592141956146608,0.0017516712255015124,124.39896998530043
1.2128747141170897,0.001687379598234222,135.9653731493707
1.3768359833663333,0.001625909664009866,148.16941691801645
1.5428560838710474,0.001569932300371819,160.38663622903744
1.7121342514493065,0.0015183458491147379,172.70377114312043
1.8933535354381246,0.0014683267987147565,185.74238859602445
2.0819468528735263,0.001421147126894292,199.15892483878034
2.278980710668368,0.001376483912452072,213.01619753509104
2.511747514089653,0.0013325830203574376,229.0378020784697
2.7506200286738256,0.0012909465545955236,245.33995935829725
2.996606523085787,0.0012514985931815082,261.97509874223493
3.2498750408845334,0.0012140267952145294,278.94410439330477
3.5132085510140842,0.0011780239992088303,296.4244032281388
3.775413309791515,0.0011448098280990736,313.66850556023934
4.054765455159659,0.0011119851385987547,331.8720623034965
4.344627668496708,0.0010805122828243213,350.5781570973608
4.683932967911351,0.0010489005831597858,372.15262742642085
5.031481610800492,0.0010186111687323631,394.0507649913881
5.375144820730424,0.0009906357737706343,415.5076066256391
5.739877975232746,0.0009628006071493965,438.0794507350517
6.116651154318159,0.0009358771958501864,461.1835841956377
6.488659657242187,0.0009109394649271398,483.79262986460174
6.884921810810298,0.0008859975933560877,507.66391814530925
