Emittance,Beam Energy,Beam Spread,Beam Radius
1.9996687936240742,0.1532999669152949,0.01,5.759055056267412
2.5154170844393584,0.2372744461891953,2.29,8.01731106679178
2.477398470824216,0.32120138909298873,3.35,6.994665715797094
2.505411688867418,0.40509919309612835,3.95,6.578499889987281
2.5049865302824834,0.48896236226117773,4.34,6.186022875775761
2.507831667934992,0.5734745443438066,4.61,5.8236848985552685
2.50692013775644,0.656750615688592,4.81,5.604663020092606
2.5188307309394506,0.7412183288708911,4.96,5.458109297338093
2.525791110588076,0.8244474556042308,5.07,5.29289206278815
2.5527191273384253,0.9071856937166503,5.2,5.240006131049441
2.56554085345805,0.9899069684173627,5.3,5.1774925932287665
2.548351640693833,1.0742085761557638,5.38,4.960502379652501
2.582345412585276,1.156913594255874,5.45,4.997709543667538
2.559463431965297,1.238548434957151,5.51,4.774703162126997
2.5788208598738316,1.3220280078123448,5.57,4.771914751802547
2.6033567022254425,1.405501580371251,5.61,4.751043670362238
2.6042104197708746,1.4870916812165282,5.65,4.6478831741629385
2.5946075561954145,1.5688053895998362,5.71,4.524285023089375
2.5906683200628122,1.650513260996671,5.76,4.46264479517455
2.5956369447282404,1.734310534038739,5.8,4.407098565722954
2.602752597367155,1.816008156919296,5.84,4.365187624314116
2.610710331030208,1.896130816802825,5.88,4.326007243837184
2.6186552910981353,1.978605397406116,5.92,4.290346161806488
2.625264768265826,2.061075621174367,5.95,4.2640088310574535
2.6298053590015695,2.1435126716292046,5.98,4.22485594940371
2.6315551416371594,2.2241856555350696,6.02,4.1884492066126455
2.6285512809832663,2.3048553391611115,6.06,4.140144092248328
2.6286355386865945,2.385521432279436,6.09,4.094136739776189
2.6368671159753347,2.4661840258249046,6.13,4.075184233180687
2.63950678868203,2.5476189104201503,6.16,4.056376553307931
2.6371357011919048,2.626336833082951,6.19,4.009482385922362
2.646229558179181,2.70776711597111,6.22,3.9908717386679378
2.638933706501203,2.7891594091450878,6.24,3.9372051303673192
2.637067889453598,2.8695173402246175,6.28,3.912322147779153
2.64047932536823,2.9498722674180473,6.32,3.888493988522573
2.6432771272401454,3.0273547300456003,6.35,3.861603008098357
2.6474514985795676,3.1077049310191853,6.38,3.8391880455719427
2.6405046302498314,3.1886277105727596,6.42,3.803835719122916
2.650923015159753,3.266551064638153,6.45,3.798480529408108
2.644841706021016,3.3474684736143328,6.47,3.7581403193545952
