Emittance,Uv/X-ray,Initial emittance,Mean Theta,Critical Energy,Beam Energy,Beam Spread,Beam Radius,X-ray Percentage,X-ray Critical Energy
2.2005837822969925,0.3752681921376112,1.4601353681138052,0.00014364235915512383,240.12667668713155,3.467056373328787,7.55,3.495111665684738,0.7238780687856324,
2.2448373736786165,0.36509949282802756,1.5626383687432848,0.00014917576222818333,245.48719301582736,3.445770443468988,7.35,3.45569622769037,0.7293724768783085,
2.2005837822969925,0.3752681921376112,1.4601353681138052,0.00014364235915512383,240.12667668713155,3.467056373328787,7.55,3.495111665684738,0.7238780687856324,
2.2448373736786165,0.36509949282802756,1.5626383687432848,0.00014917576222818333,245.48719301582736,3.445770443468988,7.35,3.45569622769037,0.7293724768783085,
2.2005837822969925,0.3752681921376112,1.4601353681138052,0.00014364235915512383,240.12667668713155,3.467056373328787,7.55,3.495111665684738,0.7238780687856324,1020.7139283112966
2.2448373736786165,0.36509949282802756,1.5626383687432848,0.00014917576222818333,245.48719301582736,3.445770443468988,7.35,3.45569622769037,0.7293724768783085,1026.9021506280944
2.2005837822969925,0.30524194344543676,1.4601353681138052,0.00012851327222451061,281.8177127446704,3.467056373328787,7.55,3.495111665684738,0.7633841733884525,1068.3955459345582
2.2448373736786165,0.29547173066004806,1.5626383687432848,0.00013340987863535257,289.2094715891219,3.445770443468988,7.35,3.45569622769037,0.7692398240986742,1076.0942036101758
2.2005837822969925,0.30524194344543676,1.4601353681138052,0.00012851327222451061,281.8177127446704,3.467056373328787,7.55,3.495111665684738,0.7633841733884525,1068.3955459345582
2.2448373736786165,0.29547173066004806,1.5626383687432848,0.00013340987863535257,289.2094715891219,3.445770443468988,7.35,3.45569622769037,0.7692398240986742,1076.0942036101758
