Emittance,Beam Energy,Beam Spread,Beam Radius
19.990630426020523,0.15329998222096955,0.01,5.752848134190483
263.6229807109691,0.22680254171539263,7.4,132.52645687074846
272.1839976717943,0.3028587682688749,10.83,126.26745893205532
278.03002213330217,0.3806658319225037,12.66,120.8147088419247
281.7475070499214,0.459721901035165,13.72,116.36212454847842
284.1689239509361,0.5397642790097262,14.37,112.71427128461937
285.36247670243455,0.6206047162893056,14.76,109.04197752961262
286.87557320824976,0.7021106824969906,15.0,106.01221191157867
287.73159321183675,0.7841907786039435,15.13,103.33944824884665
287.67535209498374,0.8667858629591234,15.19,100.79609104924535
287.43276028244077,0.9498292158462927,15.19,98.24256382692505
286.92323745452813,1.0332894545834341,15.15,95.83495517120386
285.9769560429829,1.1170957024635164,15.08,93.36470526878846
285.569081746597,1.2019254061564653,14.98,91.34819097021597
285.011230357727,1.2870112794856379,14.87,89.49672096033143
283.9002093972,1.3704469829792916,14.75,87.66271477642198
281.98356756331776,1.4560288861888693,14.61,85.66604926291657
281.3017843844084,1.5418018766938109,14.47,83.84870390128172
280.0917205059927,1.6258658797670034,14.33,82.06865795307723
278.33257343235437,1.7119908252658764,14.18,80.32042027019861
277.155570828584,1.7982891394463194,14.02,78.953058485063
275.4670860110778,1.8827901617744756,13.87,77.33986578829426
274.2412841933907,1.9693115964576098,13.72,76.21487184191768
272.581970802268,2.055951672593501,13.56,74.76074058659873
271.0936516612022,2.140737367005642,13.42,73.34027537475393
269.8633989313794,2.2267083561718497,13.26,72.23635473397835
268.2911321808924,2.312723984184543,13.12,70.91861877200078
267.06517243803444,2.3987898094133735,12.97,69.96347548051699
265.25253935198975,2.4848997450939754,12.83,68.8107791125189
264.0122323740771,2.573711501813098,12.68,67.82840585468313
262.35698699147065,2.6598810451214114,12.55,66.75440309694022
261.48747558524695,2.746023126740505,12.41,65.74390190314769
260.25297577965205,2.8321835476199464,12.28,64.87382127916725
259.22367507556197,2.9165614415178314,12.16,64.03406318660849
257.98159844141765,3.0041355354128827,12.03,63.05734307994983
256.89772312752143,3.0916907940272256,11.91,62.38012913647208
255.82271855980898,3.175970033208679,11.8,61.62896916412571
254.9331222109116,3.263454376809226,11.69,60.81248272382945
253.88750963534622,3.3476563542585733,11.59,60.032386293213804
252.99338090755364,3.4350420305538374,11.48,59.28261065042853
