Emittance,Beam Energy,Beam Spread,Beam Radius
1.9966198252414193,0.15330000656943032,0.01,5.744094865797794
2.554510645378041,0.2372928330943043,2.28,8.448342104236069
2.463400052445054,0.32124308752407776,3.34,6.766219899274956
2.5262375981341174,0.40515916319011847,3.94,6.613657861723898
2.533325322881297,0.4890400876104033,4.33,6.227983605033509
2.5456023547763973,0.5728901030172193,4.59,5.96860223386964
2.5486197276723677,0.6567130651939952,4.79,5.757298861650385
2.5580205960649014,0.7405156627463911,4.94,5.5871426414306065
2.5538385225424944,0.8242994362517553,5.05,5.37337610351107
2.565988445667456,0.9071721944565102,5.17,5.2572018816259884
2.5809744011570435,0.9900301949113247,5.27,5.21887633584616
2.5644042287793645,1.0728749933591406,5.36,5.015150621704922
2.5771567011180347,1.1557088725723081,5.43,4.971198072345931
2.5814615088862403,1.2391972010224186,5.49,4.863802444829379
2.6005951834827994,1.3226781942078103,5.54,4.833750967097255
2.60211003949374,1.4042954894663562,5.59,4.734046940596311
2.5997761162707604,1.4877376651067822,5.63,4.653409414738649
2.601014201717815,1.5702355315913936,5.68,4.589769404053486
2.60312956603913,1.65089337511205,5.73,4.538102714603964
2.606234641899383,1.7333779702527827,5.77,4.492835476876445
2.607081173434784,1.8158562763600767,5.81,4.433355259904868
2.6024428900289744,1.8964959206106646,5.85,4.356530471139044
2.5942464248487127,1.97896283904994,5.89,4.287041857052635
2.590288150889896,2.061424885483093,5.92,4.217602052016382
2.593048690391641,2.142027643349947,5.95,4.180847343589196
2.618701620883376,2.222693531609546,5.99,4.195927538004406
2.605333666561582,2.3033552101705914,6.02,4.155906699252412
2.5894491893058387,2.3840138095321954,6.06,4.065381978801148
2.594360660031418,2.4646692075557537,6.09,4.030479615116655
2.606266169331455,2.5478407391680236,6.13,4.026606161566468
2.600938981649249,2.628488211275804,6.16,3.9781921470104495
2.6009429969927913,2.7091329968309563,6.18,3.947506518790748
2.5977145316154893,2.789742044676754,6.21,3.9165419720456507
2.595012510336548,2.8676677127880508,6.25,3.8878911563661553
2.597842810797935,2.9485885016205384,6.28,3.8508435493710946
2.6033996847017358,3.0295066733987954,6.32,3.8284534733332576
2.6053291680416795,3.1074256060896124,6.35,3.80375788834161
2.5996576594636482,3.1883394176342317,6.38,3.765619617386837
2.6071655582352853,3.266253854228568,6.41,3.7630805664861153
2.601897671110821,3.347162564952776,6.44,3.72119068340928
