Uv/X-ray,Mean Theta,Critical Energy
8.5544436495856e-16,0.0027905830248178406,7.16333248971573
3.847821868651903e-06,0.0014652460374114857,10.846290757508367
0.00019695446863827003,0.00126820496278609,13.804046612342585
0.001972294019771728,0.0011242204948551666,17.30760560334299
0.008294836786623171,0.0010140206101333525,21.27747957341186
0.022217440186537533,0.0009269842844155676,25.726397990643868
0.04509341718255831,0.0008563364517897457,30.507164021396477
0.07825974973137022,0.0007956445562934853,35.74113567514406
0.120255169196374,0.0007445895987641596,41.270571068613975
0.17342455603992152,0.0007002113208643253,47.36859319978841
0.2345945581626903,0.0006610554756191116,53.78349833863301
0.3050640824064359,0.0006255755272747898,60.68510242865447
0.38159054337313714,0.0005944725443840591,67.80154593420944
0.4644968957047587,0.0005667780453096092,75.19801836530148
0.5562181567946498,0.0005410012530692283,83.11745986912315
0.6545458579489721,0.0005174331147680528,91.38017357429005
0.7572587863849011,0.0004961932343385187,99.81038272811386
0.8704292225807057,0.00047621223611344797,108.8799524497534
0.9897112512725259,0.000457659126033944,118.28268709241502
1.1183003817640804,0.00043994587965795706,128.26847892000288
1.249902039955573,0.00042380213814780486,138.34546457431532
1.3854489108519805,0.00040894801765900096,148.58702075534868
1.5312865231916795,0.0003945500945412912,159.47550502210453
1.6835339576520088,0.0003809708593776074,170.71330120788812
1.842388929215387,0.00036812796950435705,182.3097550817354
2.0095849448256478,0.00035601384522467895,194.36292621014576
2.1832199176314098,0.00034449512735975463,206.76028191367558
2.3629595506412286,0.000333543835535051,219.47661070485609
2.54906502278799,0.00032310648799081885,232.52439169077013
2.7438790205163275,0.0003130506868274798,246.05851775048208
2.9387151921888424,0.00030374438012894633,259.4774680767035
3.1471002533306858,0.00029451930252540504,273.7076321750976
3.362748906525033,0.00028567241130951894,288.30734588198703
3.5889392085708836,0.00027713584168871793,303.47950908864465
3.8221544289705807,0.00026893331594102,318.9969092329767
4.053668340581605,0.0002613233278667559,334.2817806889948
4.300823357863893,0.00025372492098056805,350.4738442100763
4.557278643672669,0.0002463594850691798,367.14418807641954
4.811304752269371,0.00023953355240785516,383.5322370204218
5.082528206755637,0.00023272395050874796,400.89947392745785
