Emittance,UV/X-ray,Initial emittance,Mean Theta,Critical Energy
2.2005837822969925,0.30524194344543676,1.4601353681138052,0.00012851327222451061,281.8177127446704
2.2448373736786165,0.29547173066004806,1.5626383687432848,0.00013340987863535257,289.2094715891219
2.3399036807229816,0.2907947706991,1.6422089867642133,0.00013718900402666755,293.28136980230244
2.3805783654310657,0.27982216930669684,1.6803147009042592,0.00014078770060732313,302.1461450184878
2.4725575754603635,0.2826572881465163,1.7742722896976482,0.0001433448166520299,299.97203777139345
2.682977228381042,0.2736440895641724,1.8824838626162577,0.00014689741487821563,307.7949691544742
3.113744596336162,0.2620414714578218,2.0077613350947336,0.00015435332899673166,318.89728809890624
2.7918480094372953,0.2607611814347017,2.0227176007309553,0.00015404761781120864,319.8069209748107
3.0959687736530968,0.2557570124558451,2.1235300923581275,0.00015925039805864667,325.0301018613882
3.1951946246011245,0.24676650533639893,2.2411576954439587,0.000163617461160129,334.45732581864047
3.5004218733217853,0.24040137619327687,2.3377656417219552,0.0001674271937041093,341.5626519598888
3.5580050290046827,0.24073603164175722,2.4231860089496493,0.0001702057279693649,341.205598298741
3.7383328092665886,0.23582337657127075,2.518688938374469,0.0001731325943223248,346.87752540587326
3.9278012657038097,0.22934402561443135,2.615385089170734,0.00017660217156629021,354.7124181667936
4.206489748426981,0.22151503828816838,2.786508013518159,0.00018203372385112589,364.70832901827896
3.9655477368086753,0.21919857186279235,2.791554782059906,0.00018246928951952307,367.70829979211345
4.243560293805234,0.2188619999883755,2.8762415940070896,0.00018461612011364838,368.2832972688827
4.168064319095585,0.21787581017200824,2.9686594772722152,0.00018407908952249185,369.7062169502931
4.937895280293598,0.20401321184928875,3.1064527703305127,0.00019752262944900214,389.4105369220986
4.503903267828101,0.20643238114745865,3.1935718409760336,0.0001936132159888679,386.11917421649207
5.33852705808355,0.20219912345576863,3.2965106893333678,0.0001960840839265538,392.472679609342
5.218594557774946,0.20009392677678872,3.4010797509325275,0.00020139437223535867,396.0156893836944
5.678927525071242,0.19800822664582224,3.5000384278816585,0.00020412740986545583,399.4699325534434
5.585415955118453,0.19363770469573582,3.6045962654566934,0.0002051860278501873,406.62775265804845
6.013198468680579,0.19125674194628442,3.709127802905404,0.0002077687639982762,410.7432831402339
5.994886980135334,0.1895318985029452,3.808233845131253,0.00021102223694552052,413.845071090931
5.864522051444431,0.18838512736906812,3.8895455558623486,0.00021065979869398975,416.14832238580317
6.095614502821001,0.18832788473752626,3.9686204720441354,0.00021339441159732816,416.22078281192955
6.819100344478176,0.18583229813997176,4.060131180517751,0.00021696740081266212,420.9122656727039
6.997741450750302,0.1839310510687782,4.171448853618183,0.00021976298261232115,424.49564134971126
6.563202705482716,0.18119551852467985,4.37020790380229,0.00021922736664635966,429.8603297737532
7.048247454005368,0.17783029786536994,4.4284702890863485,0.00022293538763084442,436.40259265822215
7.187088621231558,0.17976576490939014,4.492737357874707,0.00022274387570935862,432.6928094653671
7.345151641802003,0.17629089110513635,4.66424907520881,0.0002258517317692683,439.5534127116676
7.651999245291833,0.1748543199008296,4.7146069287703645,0.00022861908639180666,442.61868425604297
7.989126060341222,0.17093385480500362,4.88467542443924,0.00023177245671896643,450.90909782758513
9.343690401745775,0.1705778542643758,4.980992526137235,0.00023415008782661087,451.7602229476118
8.312988764353022,0.17057196785490505,5.034939057153561,0.00023440318946143967,451.8068178539912
8.5381052484794,0.1654075574958944,5.1676974137798135,0.00023903696777111697,462.96000805243045
8.84589578308773,0.16628909163361305,5.253322375645552,0.00023933831658095323,461.16053541055584
9.226152718639405,0.16435821801739994,5.351560127965763,0.00024133150058926967,465.53376761632325
8.784543083774876,0.16558568456617118,5.351502258702004,0.0002391733431675406,462.63181206563115
9.197280084695622,0.16353641276467437,5.506746388724135,0.00024241272718110633,467.52960218717527
9.411903171191545,0.16091358414822374,5.539845431778352,0.0002466813819378224,473.52848764280316
9.201195675926712,0.15934908280489388,5.614012684762364,0.0002462578696917086,477.1029711775749
9.831508840509791,0.1574168750337597,5.742552912463934,0.00024887809671499827,481.99261712365535
10.063847807494247,0.15587841987195727,5.8507859590047175,0.0002514899393387391,485.8952375999935
10.091846884180073,0.15697378249827615,5.970260554667285,0.00025161432560051784,483.3252764053664
10.315135792865455,0.1562622794445794,6.084596462714134,0.00025440238171854103,485.1957456952895
11.406625170591187,0.15264981493583324,6.274671921484285,0.0002601605149188895,494.5093387324096
10.670851419033355,0.14934848655421856,6.328206123911861,0.0002587570429570289,503.4544297384742
10.318982184417697,0.15047723814927524,6.317289770414435,0.00025589545899139726,500.3911728050897
12.01464112501927,0.15269872502649406,6.426923666643612,0.0002639163369891702,494.3459930195754
11.151211566921376,0.15140343313559193,6.526476830092451,0.0002613166948577031,497.84231299323227
11.362648973315023,0.1476397170507913,6.588287489850928,0.0002638536251030229,507.97470339434057
11.685948135660151,0.15060446754313603,6.6534229203504,0.00026363784081092755,500.02717152045153
11.831572614356228,0.150030334721032,6.752116083608962,0.0002644952261128776,501.62669195518475
12.60951134486499,0.14835298839921676,6.885829976489287,0.0002670350537403796,506.27022006658825
12.43801606401335,0.14661030181471393,7.002922634153593,0.00026778012093004133,511.11528198217036
12.590680223427455,0.14638975593162806,7.099057011831383,0.0002692952752837957,511.7759293685404
12.915067416811999,0.14544687991545713,7.219124412452397,0.00027022501390134397,514.4848122410048
13.623892183575864,0.14402541985884948,7.383696512965129,0.00027411914237826583,518.8185864822647
14.017902467429332,0.14346593226862794,7.481064249555538,0.00027493132488654476,520.4650604941444
