Emittance (um),Beam Radius (um),Beam Radius Fraction
4.3158,16.9111,2.0
4.3158,25.3666,3.0
4.3158,33.8221,4.0
4.3158,42.2777,5.0
4.386,4.262,0.5
4.386,8.524,1.0
4.386,17.048,2.0
4.386,25.572,3.0
4.386,34.096,4.0
4.386,42.62,5.0
4.4561,4.296,0.5
4.4561,8.5919,1.0
4.4561,17.1838,2.0
4.4561,25.7758,3.0
4.4561,34.3677,4.0
4.4561,42.9596,5.0
4.5263,4.3297,0.5
4.5263,8.6593,1.0
4.5263,17.3186,2.0
4.5263,25.9779,3.0
4.5263,34.6372,4.0
4.5263,43.2965,5.0
4.5965,4.3631,0.5
4.5965,8.7262,1.0
4.5965,17.4524,2.0
4.5965,26.1785,3.0
4.5965,34.9047,4.0
4.5965,43.6309,5.0
4.6667,4.3963,0.5
4.6667,8.7925,1.0
4.6667,17.5851,2.0
4.6667,26.3776,3.0
4.6667,35.1701,4.0
4.6667,43.9627,5.0
4.7368,4.4292,0.5
4.7368,8.8584,1.0
4.7368,17.7168,2.0
4.7368,26.5752,3.0
4.7368,35.4336,4.0
4.7368,44.292,5.0
4.807,4.4619,0.5
4.807,8.9238,1.0
4.807,17.8475,2.0
4.807,26.7713,3.0
4.807,35.6951,4.0
4.807,44.6189,5.0
4.8772,4.4943,0.5
4.8772,8.9887,1.0
4.8772,17.9774,2.0
4.8772,26.966,3.0
4.8772,35.9547,4.0
4.8772,44.9434,5.0
4.9474,4.5266,0.5
4.9474,9.0531,1.0
4.9474,18.1062,2.0
4.9474,27.1593,3.0
4.9474,36.2124,4.0
4.9474,45.2656,5.0
5.0175,4.5585,0.5
5.0175,9.1171,1.0
5.0175,18.2342,2.0
5.0175,27.3513,3.0
5.0175,36.4684,4.0
5.0175,45.5855,5.0
5.0877,4.5903,0.5
5.0877,9.1806,1.0
5.0877,18.3613,2.0
5.0877,27.5419,3.0
5.0877,36.7225,4.0
5.0877,45.9031,5.0
5.1579,4.6219,0.5
5.1579,9.2437,1.0
5.1579,18.4874,2.0
5.1579,27.7312,3.0
5.1579,36.9749,4.0
5.1579,46.2186,5.0
5.2281,4.6532,0.5
5.2281,9.3064,1.0
5.2281,18.6128,2.0
5.2281,27.9192,3.0
5.2281,37.2256,4.0
5.2281,46.532,5.0
5.2982,4.6843,0.5
5.2982,9.3686,1.0
5.2982,18.7373,2.0
5.2982,28.1059,3.0
5.2982,37.4746,4.0
5.2982,46.8432,5.0
5.3684,4.7152,0.5
5.3684,9.4305,1.0
5.3684,18.861,2.0
5.3684,28.2915,3.0
5.3684,37.7219,4.0
5.3684,47.1524,5.0
5.4386,4.746,0.5
5.4386,9.4919,1.0
5.4386,18.9838,2.0
5.4386,28.4758,3.0
5.4386,37.9677,4.0
5.4386,47.4596,5.0
5.5088,4.7765,0.5
5.5088,9.553,1.0
5.5088,19.1059,2.0
5.5088,28.6589,3.0
5.5088,38.2119,4.0
5.5088,47.7648,5.0
5.5789,4.8068,0.5
5.5789,9.6136,1.0
5.5789,19.2272,2.0
5.5789,28.8409,3.0
5.5789,38.4545,4.0
5.5789,48.0681,5.0
5.6491,4.8369,0.5
5.6491,9.6739,1.0
5.6491,19.3478,2.0
5.6491,29.0217,3.0
5.6491,38.6956,4.0
5.6491,48.3695,5.0
5.7193,4.8669,0.5
5.7193,9.7338,1.0
5.7193,19.4676,2.0
5.7193,29.2014,3.0
5.7193,38.9352,4.0
5.7193,48.669,5.0
5.7895,4.8967,0.5
5.7895,9.7933,1.0
5.7895,19.5867,2.0
5.7895,29.38,3.0
5.7895,39.1733,4.0
5.7895,48.9666,5.0
5.8596,4.9263,0.5
5.8596,9.8525,1.0
5.8596,19.705,2.0
5.8596,29.5575,3.0
5.8596,39.41,4.0
5.8596,49.2625,5.0
5.9298,4.9557,0.5
5.9298,9.9113,1.0
5.9298,19.8226,2.0
5.9298,29.734,3.0
5.9298,39.6453,4.0
5.9298,49.5566,5.0
6.0,4.9849,0.5
6.0,9.9698,1.0
6.0,19.9396,2.0
6.0,29.9094,3.0
6.0,39.8792,4.0
6.0,49.849,5.0
6.0702,5.014,0.5
6.0702,10.0279,1.0
6.0702,20.0559,2.0
6.0702,30.0838,3.0
6.0702,40.1117,4.0
6.0702,50.1397,5.0
6.1404,5.0429,0.5
6.1404,10.0857,1.0
6.1404,20.1715,2.0
6.1404,30.2572,3.0
6.1404,40.3429,4.0
6.1404,50.4286,5.0
6.2105,5.0716,0.5
6.2105,10.1432,1.0
6.2105,20.2864,2.0
6.2105,30.4296,3.0
6.2105,40.5728,4.0
6.2105,50.716,5.0
6.2807,5.1002,0.5
6.2807,10.2003,1.0
6.2807,20.4007,2.0
6.2807,30.601,3.0
6.2807,40.8014,4.0
6.2807,51.0017,5.0
6.3509,5.1286,0.5
6.3509,10.2572,1.0
6.3509,20.5143,2.0
6.3509,30.7715,3.0
6.3509,41.0287,4.0
6.3509,51.2859,5.0
6.4211,5.1568,0.5
6.4211,10.3137,1.0
6.4211,20.6274,2.0
6.4211,30.9411,3.0
6.4211,41.2547,4.0
6.4211,51.5684,5.0
6.4912,5.1849,0.5
6.4912,10.3699,1.0
6.4912,20.7398,2.0
6.4912,31.1097,3.0
6.4912,41.4796,4.0
6.4912,51.8495,5.0
6.5614,5.2129,0.5
6.5614,10.4258,1.0
6.5614,20.8516,2.0
6.5614,31.2774,3.0
6.5614,41.7032,4.0
6.5614,52.129,5.0
6.6316,5.2407,0.5
6.6316,10.4814,1.0
6.6316,20.9628,2.0
6.6316,31.4442,3.0
6.6316,41.9256,4.0
6.6316,52.407,5.0
6.7018,5.2684,0.5
6.7018,10.5367,1.0
6.7018,21.0734,2.0
6.7018,31.6101,3.0
6.7018,42.1468,4.0
6.7018,52.6835,5.0
6.7719,5.2959,0.5
6.7719,10.5917,1.0
6.7719,21.1835,2.0
6.7719,31.7752,3.0
6.7719,42.3669,4.0
6.7719,52.9587,5.0
6.8421,5.3232,0.5
6.8421,10.6465,1.0
6.8421,21.2929,2.0
6.8421,31.9394,3.0
6.8421,42.5859,4.0
6.8421,53.2323,5.0
6.9123,5.3505,0.5
6.9123,10.7009,1.0
6.9123,21.4019,2.0
6.9123,32.1028,3.0
6.9123,42.8037,4.0
6.9123,53.5046,5.0
6.9825,5.3776,0.5
6.9825,10.7551,1.0
6.9825,21.5102,2.0
6.9825,32.2653,3.0
6.9825,43.0204,4.0
6.9825,53.7755,5.0
7.0526,5.4045,0.5
7.0526,10.809,1.0
7.0526,21.618,2.0
7.0526,32.4271,3.0
7.0526,43.2361,4.0
7.0526,54.0451,5.0
7.1228,5.4313,0.5
7.1228,10.8627,1.0
7.1228,21.7253,2.0
7.1228,32.588,3.0
7.1228,43.4507,4.0
7.1228,54.3133,5.0
7.193,5.458,0.5
7.193,10.916,1.0
7.193,21.8321,2.0
7.193,32.7481,3.0
7.193,43.6642,4.0
7.193,54.5802,5.0
7.2632,5.4846,0.5
7.2632,10.9692,1.0
7.2632,21.9383,2.0
7.2632,32.9075,3.0
7.2632,43.8767,4.0
7.2632,54.8458,5.0
7.3333,5.511,0.5
7.3333,11.022,1.0
7.3333,22.0441,2.0
7.3333,33.0661,3.0
7.3333,44.0881,4.0
7.3333,55.1101,5.0
7.4035,5.5373,0.5
7.4035,11.0746,1.0
7.4035,22.1493,2.0
7.4035,33.2239,3.0
7.4035,44.2986,4.0
7.4035,55.3732,5.0
7.4737,5.5635,0.5
7.4737,11.127,1.0
7.4737,22.254,2.0
7.4737,33.381,3.0
7.4737,44.508,4.0
7.4737,55.635,5.0
7.5439,5.5896,0.5
7.5439,11.1791,1.0
7.5439,22.3582,2.0
7.5439,33.5374,3.0
7.5439,44.7165,4.0
7.5439,55.8956,5.0
7.614,5.6155,0.5
7.614,11.231,1.0
7.614,22.462,2.0
7.614,33.693,3.0
7.614,44.924,4.0
7.614,56.155,5.0
7.6842,5.6413,0.5
7.6842,11.2826,1.0
7.6842,22.5653,2.0
7.6842,33.8479,3.0
7.6842,45.1305,4.0
7.6842,56.4132,5.0
7.7544,5.667,0.5
7.7544,11.334,1.0
7.7544,22.6681,2.0
7.7544,34.0021,3.0
7.7544,45.3361,4.0
7.7544,56.6702,5.0
7.8246,5.6926,0.5
7.8246,11.3852,1.0
7.8246,22.7704,2.0
7.8246,34.1556,3.0
7.8246,45.5408,4.0
7.8246,56.926,5.0
7.8947,5.7181,0.5
7.8947,11.4361,1.0
7.8947,22.8723,2.0
7.8947,34.3084,3.0
