Emittance (um),Beam Radius (um),Beam Radius Fraction
9.5395,12.5711,1
9.5676,12.5896,1
9.5956,12.608,1
9.6236,12.6264,1
9.6517,12.6448,1
9.6797,12.6631,1
9.7077,12.6815,1
9.7357,12.6997,1
9.7638,12.718,1
9.7918,12.7363,1
9.8198,12.7545,1
9.8478,12.7727,1
9.8759,12.7908,1
9.9039,12.809,1
9.9319,12.8271,1
9.96,12.8452,1
9.988,12.8632,1
10.016,12.8813,1
10.044,12.8993,1
10.0721,12.9173,1
10.1001,12.9352,1
10.1281,12.9531,1
10.1562,12.9711,1
10.1842,12.9889,1
10.2122,13.0068,1
10.2402,13.0246,1
10.2683,13.0425,1
10.2963,13.0602,1
10.3243,13.078,1
10.3524,13.0957,1
10.3804,13.1135,1
10.4084,13.1312,1
10.4364,13.1488,1
10.4645,13.1665,1
10.4925,13.1841,1
10.5205,13.2017,1
10.5485,13.2193,1
10.5766,13.2368,1
10.6046,13.2543,1
10.6326,13.2718,1
10.6607,13.2893,1
10.6887,13.3068,1
10.7167,13.3242,1
10.7447,13.3416,1
10.7728,13.359,1
10.8008,13.3764,1
10.8288,13.3937,1
10.8569,13.4111,1
10.8849,13.4284,1
10.9129,13.4456,1
10.9409,13.4629,1
10.969,13.4801,1
10.997,13.4973,1
11.025,13.5145,1
11.0531,13.5317,1
11.0811,13.5488,1
11.1091,13.566,1
11.1371,13.5831,1
11.1652,13.6001,1
11.1932,13.6172,1
11.2212,13.6342,1
11.2492,13.6513,1
11.2773,13.6682,1
11.3053,13.6852,1
11.3333,13.7022,1
11.3614,13.7191,1
11.3894,13.736,1
11.4174,13.7529,1
11.4454,13.7698,1
11.4735,13.7866,1
11.5015,13.8035,1
11.5295,13.8203,1
11.5576,13.8371,1
11.5856,13.8538,1
11.6136,13.8706,1
11.6416,13.8873,1
11.6697,13.904,1
11.6977,13.9207,1
11.7257,13.9374,1
11.7538,13.954,1
11.7818,13.9706,1
11.8098,13.9872,1
11.8378,14.0038,1
11.8659,14.0204,1
11.8939,14.037,1
11.9219,14.0535,1
11.9499,14.07,1
11.978,14.0865,1
12.006,14.103,1
12.034,14.1194,1
12.0621,14.1358,1
12.0901,14.1523,1
12.1181,14.1686,1
12.1461,14.185,1
12.1742,14.2014,1
12.2022,14.2177,1
12.2302,14.234,1
12.2583,14.2503,1
12.2863,14.2666,1
12.3143,14.2829,1
12.3423,14.2991,1
12.3704,14.3154,1
12.3984,14.3316,1
12.4264,14.3478,1
12.4545,14.3639,1
12.4825,14.3801,1
12.5105,14.3962,1
12.5385,14.4123,1
12.5666,14.4284,1
12.5946,14.4445,1
12.6226,14.4606,1
12.6507,14.4766,1
12.6787,14.4926,1
12.7067,14.5087,1
12.7347,14.5247,1
12.7628,14.5406,1
12.7908,14.5566,1
12.8188,14.5725,1
12.8468,14.5884,1
12.8749,14.6044,1
12.9029,14.6202,1
12.9309,14.6361,1
12.959,14.652,1
12.987,14.6678,1
13.015,14.6836,1
13.043,14.6994,1
13.0711,14.7152,1
13.0991,14.731,1
13.1271,14.7467,1
13.1552,14.7625,1
13.1832,14.7782,1
13.2112,14.7939,1
13.2392,14.8096,1
13.2673,14.8252,1
13.2953,14.8409,1
13.3233,14.8565,1
13.3514,14.8721,1
13.3794,14.8877,1
13.4074,14.9033,1
13.4354,14.9189,1
13.4635,14.9344,1
13.4915,14.95,1
13.5195,14.9655,1
13.5475,14.981,1
13.5756,14.9965,1
13.6036,15.012,1
13.6316,15.0274,1
13.6597,15.0429,1
13.6877,15.0583,1
13.7157,15.0737,1
13.7437,15.0891,1
13.7718,15.1045,1
13.7998,15.1198,1
13.8278,15.1352,1
13.8559,15.1505,1
13.8839,15.1658,1
13.9119,15.1811,1
13.9399,15.1964,1
13.968,15.2117,1
13.996,15.2269,1
14.024,15.2422,1
14.0521,15.2574,1
14.0801,15.2726,1
14.1081,15.2878,1
14.1361,15.303,1
14.1642,15.3181,1
14.1922,15.3333,1
14.2202,15.3484,1
14.2482,15.3635,1
14.2763,15.3787,1
14.3043,15.3937,1
14.3323,15.4088,1
14.3604,15.4239,1
14.3884,15.4389,1
14.4164,15.4539,1
14.4444,15.469,1
14.4725,15.484,1
14.5005,15.4989,1
14.5285,15.5139,1
14.5566,15.5289,1
14.5846,15.5438,1
14.6126,15.5587,1
14.6406,15.5737,1
14.6687,15.5886,1
14.6967,15.6034,1
14.7247,15.6183,1
14.7528,15.6332,1
14.7808,15.648,1
14.8088,15.6629,1
14.8368,15.6777,1
14.8649,15.6925,1
14.8929,15.7073,1
14.9209,15.722,1
14.9489,15.7368,1
14.977,15.7515,1
15.005,15.7663,1
15.033,15.781,1
15.0611,15.7957,1
15.0891,15.8104,1
15.1171,15.8251,1
15.1451,15.8397,1
15.1732,15.8544,1
15.2012,15.869,1
15.2292,15.8836,1
15.2573,15.8982,1
15.2853,15.9128,1
15.3133,15.9274,1
15.3413,15.942,1
15.3694,15.9565,1
15.3974,15.9711,1
15.4254,15.9856,1
15.4535,16.0001,1
15.4815,16.0146,1
15.5095,16.0291,1
15.5375,16.0436,1
15.5656,16.0581,1
15.5936,16.0725,1
15.6216,16.087,1
15.6496,16.1014,1
15.6777,16.1158,1
15.7057,16.1302,1
15.7337,16.1446,1
15.7618,16.1589,1
15.7898,16.1733,1
15.8178,16.1877,1
15.8458,16.202,1
15.8739,16.2163,1
15.9019,16.2306,1
15.9299,16.2449,1
15.958,16.2592,1
15.986,16.2735,1
16.014,16.2877,1
16.042,16.302,1
16.0701,16.3162,1
16.0981,16.3304,1
16.1261,16.3447,1
16.1542,16.3589,1
16.1822,16.373,1
16.2102,16.3872,1
16.2382,16.4014,1
16.2663,16.4155,1
16.2943,16.4297,1
16.3223,16.4438,1
16.3504,16.4579,1
16.3784,16.472,1
16.4064,16.4861,1
16.4344,16.5002,1
16.4625,16.5142,1
16.4905,16.5283,1
16.5185,16.5423,1
16.5465,16.5563,1
16.5746,16.5704,1
16.6026,16.5844,1
16.6306,16.5984,1
16.6587,16.6123,1
16.6867,16.6263,1
16.7147,16.6403,1
16.7427,16.6542,1
16.7708,16.6681,1
16.7988,16.6821,1
16.8268,16.696,1
16.8549,16.7099,1
16.8829,16.7238,1
16.9109,16.7376,1
16.9389,16.7515,1
16.967,16.7654,1
16.995,16.7792,1
17.023,16.793,1
17.0511,16.8068,1
17.0791,16.8207,1
17.1071,16.8345,1
17.1351,16.8482,1
17.1632,16.862,1
