Feature 1,Feature 2,Correlation
training_loss,Beam Energy_test_loss,-0.14285714285714288
avg_epoch_time,Beam Spread_train_loss,0.14285714285714288
total_training_time,Emittance_test_loss,-0.14285714285714288
dropout_rate,Beam Spread_train_loss,0.12598815766974242
dropout_rate,Beam Energy_train_loss,-0.12598815766974242
total_training_time,dropout_rate,0.12598815766974242
patience,Beam Spread_train_loss,-0.1091089451179962
patience,Emittance_train_loss,-0.1091089451179962
patience,training_loss,-0.1091089451179962
total_training_time,patience,0.1091089451179962
tets_loss_error,Beam Energy_train_loss,-0.04761904761904762
num_epochs_early_stopping,Beam Energy_test_loss,-0.04761904761904762
Beam Energy_test_loss,Beam Spread_train_loss,-0.04761904761904762
avg_epoch_time,Beam Energy_train_loss,-0.04761904761904762
avg_epoch_time,total_training_time,-0.04761904761904762
dropout_rate,Beam Energy_test_loss,0.0
avg_epoch_time,learning_rate,
avg_epoch_time,batch_size,
total_training_time,learning_rate,
total_training_time,batch_size,
total_num_epochs,learning_rate,
total_num_epochs,batch_size,
num_epochs_early_stopping,learning_rate,
num_epochs_early_stopping,batch_size,
patience,learning_rate,
patience,batch_size,
test_loss,learning_rate,
test_loss,batch_size,
tets_loss_error,learning_rate,
tets_loss_error,batch_size,
learning_rate,no_hidden_layers,
learning_rate,batch_size,
learning_rate,no_nodes,
learning_rate,training_loss,
learning_rate,dropout_rate,
learning_rate,Emittance_train_loss,
learning_rate,Emittance_test_loss,
learning_rate,Beam Energy_train_loss,
learning_rate,Beam Energy_test_loss,
learning_rate,Beam Spread_train_loss,
learning_rate,Beam Spread_test_loss,
no_hidden_layers,batch_size,
batch_size,no_nodes,
batch_size,training_loss,
batch_size,dropout_rate,
batch_size,Emittance_train_loss,
batch_size,Emittance_test_loss,
batch_size,Beam Energy_train_loss,
batch_size,Beam Energy_test_loss,
batch_size,Beam Spread_train_loss,
batch_size,Beam Spread_test_loss,
