avg_epoch_time,total_training_time,total_num_epochs,num_epochs_early_stopping,patience,loss_function,test_loss,test_loss_error,optimiser,learning_rate,activation_function,no_hidden_layers,batch_size,no_nodes,predicted_feature,predictor_features,training_loss,overfitting,test_size,dropout_rate,accuracy_threshold,Emittance_train_loss,Emittance_test_loss,Emittance_test_accuracy,Beam Energy_train_loss,Beam Energy_test_loss,Beam Energy_test_accuracy,Beam Spread_train_loss,Beam Spread_test_loss,Beam Spread_test_accuracy
0.11028368070901158,33.14368391036987,700,166,50,MSELoss(),678.8635471150027,196.75625038549651,Adam,0.001,Leaky ReLU,12,30,12,"['Emittance', 'Beam Energy', 'Beam Spread']","['Mean Radiation Radius', 'X-ray Critical Energy', 'X-ray Percentage']",407.34485912323,Overfitting,0.1,0.2,0.1,4958.083858166711,2032.6565975900423,0.059322033898305086,0.11243035440664675,0.028480286725749402,0.2966101694915254,12.791944863432544,3.9053390551421603,0.4406779661016949
0.1263075806536116,51.77527856826782,700,222,50,MSELoss(),569.3789890095339,185.1709760113173,Adam,0.001,Leaky ReLU,13,30,12,"['Emittance', 'Beam Energy', 'Beam Spread']","['Mean Radiation Radius', 'X-ray Critical Energy', 'X-ray Percentage']",433.0973401069641,Overfitting,0.1,0.2,0.1,5273.614693334547,1705.5350662490068,0.025423728813559324,0.11119848077769502,0.0179183807192465,0.2966101694915254,11.529656984543395,2.5841222405433655,0.4661016949152542
0.11090722264245499,25.51604700088501,700,129,50,MSELoss(),574.94768821587,129.37053688359555,Adam,0.001,Leaky ReLU,14,30,12,"['Emittance', 'Beam Energy', 'Beam Spread']","['Mean Radiation Radius', 'X-ray Critical Energy', 'X-ray Percentage']",450.7698564529419,Overfitting,0.1,0.2,0.1,5487.618565963487,1721.1689825542903,0.06779661016949153,0.0960493758636511,0.019158014112104802,0.3389830508474576,13.205511383080887,3.654668573605812,0.4406779661016949
1.1253423509853226,457.1782877445221,700,182,50,MSELoss(),701.7256340414791,265.4506478108235,Adam,0.001,Leaky ReLU,15,30,12,"['Emittance', 'Beam Energy', 'Beam Spread']","['Mean Radiation Radius', 'X-ray Critical Energy', 'X-ray Percentage']",414.28961277008057,Overfitting,0.1,0.2,0.1,5044.2255155918965,2101.0414666644597,0.01694915254237288,0.10838156842263573,0.0242213430198825,0.5508474576271186,11.40375176728782,4.111151618472601,0.4322033898305085
0.03173637679685348,12.789798974990845,700,211,50,MSELoss(),725.5403804455773,214.5095653597,Adam,0.001,Leaky ReLU,2,30,12,"['Emittance', 'Beam Energy', 'Beam Spread']","['Mean Radiation Radius', 'X-ray Critical Energy', 'X-ray Percentage']",872.3177881240845,Test was better??,0.1,0.2,0.1,10559.221041404595,2156.567424192267,0.0,0.1035011918047222,0.03175833325643661,0.3305084745762712,85.90911057035802,20.021952063350355,0.0
0.04656228409060892,9.354479312896729,700,106,50,MSELoss(),380.11217097912805,228.46376566871777,Adam,0.001,Leaky ReLU,3,30,12,"['Emittance', 'Beam Energy', 'Beam Spread']","['Mean Radiation Radius', 'X-ray Critical Energy', 'X-ray Percentage']",680.8483543395996,Test was better??,0.1,0.2,0.1,8249.998448258739,1127.2757268356065,0.07627118644067797,0.0998537893549113,0.02040508424200244,0.3644067796610169,58.559607327994655,13.040385908999685,0.05084745762711865
0.04360844529404932,8.189614534378052,700,98,50,MSELoss(),671.7698679778536,329.5833753308172,Adam,0.001,Leaky ReLU,4,30,12,"['Emittance', 'Beam Energy', 'Beam Spread']","['Mean Radiation Radius', 'X-ray Critical Energy', 'X-ray Percentage']",601.0416831970215,Overfitting,0.1,0.2,0.1,7253.7665312168965,1995.0364028154793,0.05084745762711865,0.13347537051570618,0.023630406076120117,0.3135593220338983,80.84587509349241,20.249496201337394,0.0
0.05002959297289924,12.140202283859253,700,126,50,MSELoss(),810.4170863264698,178.3516207423686,Adam,0.001,Leaky ReLU,5,30,12,"['Emittance', 'Beam Energy', 'Beam Spread']","['Mean Radiation Radius', 'X-ray Critical Energy', 'X-ray Percentage']",866.3880462646484,Test was better??,0.1,0.2,0.1,10552.593756206965,2426.0966052039194,0.05084745762711865,0.10619164231406936,0.02756583842180543,0.423728813559322,20.171075614832215,5.1271443043724965,0.2542372881355932
0.05929338445071301,17.061408281326294,700,153,50,MSELoss(),411.8600624213784,175.20806382413116,Adam,0.001,Leaky ReLU,6,30,12,"['Emittance', 'Beam Energy', 'Beam Spread']","['Mean Radiation Radius', 'X-ray Critical Energy', 'X-ray Percentage']",601.9175148010254,Test was better??,0.1,0.2,0.1,7321.012976694915,1230.5743842690679,0.03389830508474576,0.10812377967571808,0.028073295698327533,0.4322033898305085,24.312828092251795,4.977769463749255,0.03389830508474576
0.0656022448092699,14.452780485153198,700,120,50,MSELoss(),523.4231857041182,244.9183691229444,Adam,0.001,Leaky ReLU,7,30,12,"['Emittance', 'Beam Energy', 'Beam Spread']","['Mean Radiation Radius', 'X-ray Critical Energy', 'X-ray Percentage']",438.287202835083,Overfitting,0.1,0.2,0.1,5338.155041710805,1566.4959892660884,0.0847457627118644,0.0766197042697567,0.028540699663808792,0.5084745762711864,10.357903949284959,3.7449180594945357,0.4576271186440678
