Emittance,X-ray/UV,Initial emittance,Mean Theta,Critical Energy,Beam Energy,Beam Spread,Beam Radius,X-ray Percentage,X-ray Critical Energy,X-ray Mean Theta,No. X-ray Photons,No. UV Photons,No. Other Photons,Total no. Photons,Total Charge,Set Emittance,Set Radius
8.822584479963957,0.3604000062746343,2.0009476509806734,0.00023241129957783538,403.4373610573763,3.3919996190288426,6.75,7.739415784067674,0.22460580850748482,1496.3116897576167,9.77494612940274e-05,175510229.30060825,486987309.2256964,118916933.64109471,781414472.1673994,1.2050203196719038e-10,2.0,0.5
2.645435498700953,0.2902846356990468,1.9993077686682932,0.00015702317544184636,307.65305059686034,3.3493199798273654,6.42,3.742525619595331,0.1873782788109639,1281.8939608441626,5.381348143546809e-05,119266188.43611035,410859459.19562835,106373893.25918695,636499540.8909255,1.205110702974627e-10,2.0,1.0
2.8949661977871113,0.3422564753417665,2.000628061596386,0.00019239799427800947,383.13178424589205,3.3472925683843817,6.5,3.7295735589626275,0.21506724225965992,1469.494345092055,7.695558721502075e-05,159489718.5782274,465994743.9094206,116096249.21213098,741580711.699779,1.205110702974627e-10,2.0,2.0
4.673073037998942,0.39255917253931155,1.9954915500779822,0.00023582564480584313,460.03969645308155,3.3593235656960903,6.58,4.948847030523536,0.24044677036158893,1635.707740522288,0.00010517424178729615,205662924.20327806,523902989.8930272,125770690.73310402,855336604.8294091,1.2051107029746272e-10,2.0,3.0
7.011870789533007,0.41835267537178483,2.0057027988142404,0.0002596113121849506,500.00177268765316,3.3760740837212215,6.67,6.348791706709191,0.25293197948274043,1713.603338426274,0.00012010935663343545,230986428.50282592,552133264.8286548,130115671.27210018,913235364.603581,1.2047672464242789e-10,2.0,4.0
10.654092337906556,0.435577507326189,2.0010134640339303,0.00028058192497805624,524.0842828455857,3.4027549596833246,6.83,8.255485690927994,0.26106452276406156,1752.8448211866805,0.00013235635936650666,247321172.21297824,567800605.0660645,132234721.3919622,947356498.671005,1.2012603742786228e-10,2.0,5.0
9.285621304024122,0.3628812559017628,2.0749911505109013,0.0002354484903288217,405.8736987218001,3.397181388597421,6.73,8.003215997377676,0.22588620228421674,1498.5578986794385,9.88464170148522e-05,178033153.41040024,490609946.1323414,119511075.48027998,788154175.0230217,1.204929936369181e-10,2.0702,0.5
2.7416505705007728,0.2938766793371206,2.070696737929206,0.0001595170715189298,312.12488342095094,3.348614349006516,6.43,3.827590627198788,0.18937260850340373,1291.9021035216738,5.51251437741554e-05,122327361.17342865,416254060.8848409,107379797.67763518,645961219.7359048,1.2051107029746272e-10,2.0702,1.0
3.0136403788325365,0.3450474248849977,2.073492270384006,0.00019554531757670158,387.2349621323569,3.348991104448811,6.56,3.806496755696355,0.21653037700534125,1478.493089412357,7.889603775172006e-05,162295377.76936963,470356727.98735344,116874958.36216603,749527064.1188891,1.205110702974627e-10,2.0702,2.0
4.672536823877029,0.3946190785241871,2.069174943742822,0.00023565243291139978,463.58317513700433,3.359643908617034,6.53,4.930078015804083,0.24145720002066026,1643.5863743415712,0.0001051829643482487,207480601.62707534,525774380.7091638,126030230.98240419,859285213.3186432,1.2050986518675967e-10,2.0702,3.0
7.233307516966835,0.42052302257796165,2.0689797975460618,0.00026148183010556836,503.4126409533781,3.3786145605053974,6.7,6.486839206096464,0.2539680454579299,1720.1000006356774,0.00012129966307187711,233415514.34854805,555060012.9277694,130598815.0397657,919074342.3160832,1.2045804542653185e-10,2.0702,4.0
11.131925218099278,0.43440552776710695,2.0738351615904795,0.00028184552167110683,521.4945929148189,3.4043602759197524,6.82,8.45230071015928,0.26052741395161716,1746.3910552369168,0.0001324706663046177,246199707.05578426,566750861.3927597,132054424.77457337,945004993.2231172,1.200416796786541e-10,2.0702,5.0
9.635828734472332,0.3668088996302125,2.1433651270495973,0.00023918974099823226,411.56007911979447,3.398435613696068,6.73,8.166577011202783,0.22787393144328683,1510.54048606014,0.000101108110134205,181776087.84030008,495560734.8228253,120367797.11932847,797704619.7824539,1.204929936369181e-10,2.1404,0.5
2.864709601417608,0.29738670083130303,2.1447517931429476,0.00016236724799771027,316.44626442833606,3.3492444554008376,6.51,3.925941108496054,0.19131576953528692,1301.2440239147063,5.6630267931134505e-05,125530797.19164215,422113015.9510776,108500724.74122518,656144537.883945,1.205110702974627e-10,2.1404,1.0
3.0971008000225573,0.3479913022197471,2.1360502618849613,0.00019698001580984687,391.09287068180686,3.3494231377146764,6.51,3.8880822005680997,0.21806345144402925,1485.7908079044769,7.96358048256598e-05,165204373.72189265,474737077.2433001,117656269.45929545,757597720.4244883,1.2051107029746264e-10,2.1404,2.0
4.778751651214977,0.3958056037568438,2.137857970013455,0.0002365863618015818,464.7496516013346,3.3609613359022052,6.55,5.004887909772895,0.2420575429629525,1644.258166634816,0.00010573054372023899,209165462.04392874,528455029.5867611,126494129.56061107,864114621.1913009,1.205104677421112e-10,2.1404,3.0
7.477956909521787,0.4229065149296607,2.1365605785465,0.0002636188270335106,507.3970078767093,3.379815783719594,6.67,6.590963200269389,0.2550958116650966,1728.220134721462,0.00012242415935125332,236106177.97160047,558294019.2133727,131158621.01143566,925558818.1964087,1.2045925053723477e-10,2.1404,4.0
