Emittance,X-ray/UV,Initial emittance,Mean Theta,Critical Energy,Beam Energy,Beam Spread,Beam Radius,X-ray Percentage,X-ray Critical Energy,X-ray Mean Theta,No. X-ray Photons,No. UV Photons,No. Other Photons,Total no. Photons,Total Charge,Set Emittance,Set Radius
8.815987253674415,0.3594575657205884,2.00619363576745,0.00023186879805718835,401.272763924872,3.391064911510133,6.78,7.726287969717165,0.22414049256066068,1489.6554776027401,9.675137866359574e-05,175200191.86818638,487401597.7851807,119051671.82803267,781653461.4813999,1.2050022430113588e-10,2.0,0.5
2.6980369384564473,0.2901759234893981,2.002865272886812,0.0001573992822941094,307.4219259376435,3.346795598558844,6.55,3.8338211962683437,0.1873182625877177,1281.0634537719159,5.3833952395372925e-05,119400179.57298207,411475142.8622385,106543463.77132553,637418786.2065461,1.205110702974627e-10,2.0,1.0
2.97736074417115,0.3427327002315482,2.0055951277495976,0.0001957427653864373,383.8272407861589,3.3480614024891944,6.53,3.7973249621983376,0.21533000484279677,1470.8920397417012,7.874717692724916e-05,160310537.05281484,467742170.34006375,116434978.704796,744487686.0976746,1.205110702974627e-10,2.0,2.0
4.617172529262609,0.3924438710410129,1.999422149864886,0.0002355922155083335,460.4271691607903,3.3581070492404996,6.57,4.90537621964914,0.2403780059263392,1637.8362042358194,0.00010503329990243945,205187141.9466784,522844557.1143472,125570281.51932496,853601980.5803506,1.205110702974627e-10,2.0,3.0
7.094548819508198,0.419443259579816,2.0034293570767887,0.00026122906968162606,501.92535712541456,3.3771412273683197,6.67,6.405919566240615,0.25344147299573055,1717.8442851629234,0.0001206727363072452,232324548.96108955,553887906.5402658,130466832.2843624,916679287.7857178,1.204580454265318e-10,2.0,4.0
10.663430596207848,0.43370434479745734,1.9938476325411973,0.00028033395985634747,521.1278592450685,3.399451845425181,6.8,8.271080134964834,0.2601946397819118,1747.2544745476064,0.00013185078668799047,245766470.32868886,566668222.8960915,132113859.10006271,944548552.3248432,1.2016219074895157e-10,2.0,5.0
10.692628732649862,0.373437918220047,2.2875887658779517,0.0002472658540338736,420.54028221492007,3.4040240457014685,6.79,8.62458291755808,0.2312185189586202,1527.6353018520028,0.00010558404252352996,188313627.22011915,504270236.18195087,121856208.56215063,814440071.9642206,1.2046587864610114e-10,2.2828,0.5
3.0031904893750276,0.30347319250802796,2.2831716180291832,0.00016675126933186153,323.9093161738404,3.3500110509829675,6.46,4.0116619491367995,0.19466363144777668,1317.0385437530388,5.8927968704135624e-05,130781504.08720449,430949116.15214527,110102649.87145607,671833270.1108057,1.205110702974627e-10,2.2828,1.0
3.283595656371967,0.3536442230082244,2.2764804503312748,0.00020146333584763757,399.11379940363304,3.350526604397086,6.53,4.015537853696889,0.22099299842562964,1502.4138996618447,8.215584767296274e-05,170994087.19206858,483520091.8525733,119239235.81575203,773753414.8603939,1.205110702974627e-10,2.2828,2.0
5.1473325889365915,0.40080142453207357,2.2853286675220006,0.00024172843598777976,472.4370710916906,3.3629473152992424,6.62,5.223420449997695,0.24450345845983287,1659.3539472047619,0.00010879069814183367,215078642.44471473,536621452.1213693,127954711.95293285,879654806.5190167,1.2050926263140822e-10,2.2828,3.0
7.996868235733296,0.42407305822962255,2.2867995791413454,0.0002655836147084037,507.84883927579136,3.3845246223755305,6.72,6.91152510436434,0.2556778741217396,1725.9204049774985,0.0001236035654957214,237897901.5949586,560983295.1617129,131578282.43034968,930459479.1870213,1.2042369977149704e-10,2.2828,4.0
12.183848937756258,0.4385200529141205,2.2814602599148994,0.0002866889764637237,526.694622919157,3.410962417144306,6.89,8.926739319807723,0.26245744707676605,1753.4058666593844,0.00013519124814221392,250434966.3177318,571091252.6200411,132666428.69733962,954192647.6351125,1.1991936094230216e-10,2.2828,5.0
12.477095534419595,0.38505201286418084,2.564156036236496,0.00026094518514463487,435.6994267620984,3.414012160828889,6.86,9.436172842488405,0.23702985034210414,1554.3205941113074,0.00011280652374706925,200290375.31235653,520164467.7105086,124545797.29006734,845000640.3129324,1.2042852021430894e-10,2.5657,0.5
3.3903445704773394,0.3158952270265919,2.5628153547288894,0.00017590222575054998,339.69789710250313,3.353527796183428,6.5,4.283135892381582,0.20141636951344147,1351.0725239019964,6.385739063684607e-05,141863376.21233684,449083633.0375921,113381921.68569498,704328930.935624,1.205110702974627e-10,2.5657,1.0
3.624095966604421,0.3638543060136358,2.5635864755436564,0.00020784666966885916,413.1911626680212,3.353399525560585,6.52,4.237202030430565,0.22624317850675865,1529.7848647378687,8.598949495945564e-05,181640197.39697552,499211344.7467855,122002265.8509375,802853807.9946985,1.205110702974627e-10,2.5657,2.0
5.6046782606973355,0.4069061739072233,2.5623585451635624,0.00024585260228572196,481.292342752041,3.3652593656269882,6.58,5.4814442305388535,0.24748789547262348,1675.1764163175249,0.00011125441250556053,222160517.32943878,545974801.0117254,129526835.62067918,897662153.9618435,1.2050685241000228e-10,2.5657,3.0
8.995148154519516,0.4287830724735239,2.5680836062088304,0.0002713676454911556,514.3398975318806,3.3907234629914016,6.73,7.3797938611217155,0.25791444812761605,1736.1640149622056,0.00012690199332133313,243181812.55838,567144153.2323918,132551854.05921829,942877819.8499901,1.203399445776403e-10,2.5657,4.0
13.71687644102368,0.4409358438277805,2.564724573805996,0.0002921035053305055,527.9899619289796,3.4198768954819867,6.98,9.64817435563079,0.2636075342691103,1750.5729650380301,0.00013749768134598936,252840370.72204247,573417594.1042256,132896603.43400058,959154568.2602686,1.196138653790981e-10,2.5657,5.0
