Emittance (um),Beam Radius (um),Beam Radius Fraction
11.3333,27.4044,2.0
11.3333,41.1065,3.0
11.3333,54.8087,4.0
11.3333,68.5109,5.0
11.6162,6.936,0.5
11.6162,13.8721,1.0
11.6162,27.7442,2.0
11.6162,41.6163,3.0
11.6162,55.4884,4.0
11.6162,69.3605,5.0
11.899,7.02,0.5
11.899,14.04,1.0
11.899,28.0799,2.0
11.899,42.1199,3.0
11.899,56.1598,4.0
11.899,70.1998,5.0
12.1818,7.1029,0.5
12.1818,14.2058,1.0
12.1818,28.4117,2.0
12.1818,42.6175,3.0
12.1818,56.8233,4.0
12.1818,71.0292,5.0
12.4646,7.1849,0.5
12.4646,14.3698,1.0
12.4646,28.7396,2.0
12.4646,43.1094,3.0
12.4646,57.4792,4.0
12.4646,71.849,5.0
12.7475,7.266,0.5
12.7475,14.5319,1.0
12.7475,29.0638,2.0
12.7475,43.5957,3.0
12.7475,58.1277,4.0
12.7475,72.6596,5.0
13.0303,7.3461,0.5
13.0303,14.6922,1.0
13.0303,29.3845,2.0
13.0303,44.0767,3.0
13.0303,58.769,4.0
13.0303,73.4612,5.0
13.3131,7.4254,0.5
13.3131,14.8508,1.0
13.3131,29.7017,2.0
13.3131,44.5525,3.0
13.3131,59.4033,4.0
13.3131,74.2542,5.0
13.596,7.5039,0.5
13.596,15.0078,1.0
13.596,30.0155,2.0
13.596,45.0233,3.0
13.596,60.031,4.0
13.596,75.0388,5.0
13.8788,7.5815,0.5
13.8788,15.163,1.0
13.8788,30.3261,2.0
13.8788,45.4891,3.0
13.8788,60.6522,4.0
13.8788,75.8152,5.0
14.1616,7.6584,0.5
14.1616,15.3168,1.0
14.1616,30.6335,2.0
14.1616,45.9503,3.0
14.1616,61.2671,4.0
14.1616,76.5838,5.0
14.4444,7.7345,0.5
14.4444,15.469,1.0
14.4444,30.9379,2.0
14.4444,46.4069,3.0
14.4444,61.8758,4.0
14.4444,77.3448,5.0
14.7273,7.8098,0.5
14.7273,15.6197,1.0
14.7273,31.2393,2.0
14.7273,46.859,3.0
14.7273,62.4787,4.0
14.7273,78.0984,5.0
15.0101,7.8845,0.5
15.0101,15.7689,1.0
15.0101,31.5379,2.0
15.0101,47.3068,3.0
15.0101,63.0758,4.0
15.0101,78.8447,5.0
15.2929,7.9584,0.5
15.2929,15.9168,1.0
15.2929,31.8336,2.0
15.2929,47.7504,3.0
15.2929,63.6672,4.0
15.2929,79.5841,5.0
15.5758,8.0317,0.5
15.5758,16.0633,1.0
15.5758,32.1266,2.0
15.5758,48.19,3.0
15.5758,64.2533,4.0
15.5758,80.3166,5.0
15.8586,8.1043,0.5
15.8586,16.2085,1.0
15.8586,32.417,2.0
15.8586,48.6255,3.0
15.8586,64.834,4.0
15.8586,81.0425,5.0
16.1414,8.1762,0.5
16.1414,16.3524,1.0
16.1414,32.7048,2.0
16.1414,49.0572,3.0
16.1414,65.4096,4.0
16.1414,81.762,5.0
16.4242,8.2475,0.5
16.4242,16.495,1.0
16.4242,32.9901,2.0
16.4242,49.4851,3.0
16.4242,65.9802,4.0
16.4242,82.4752,5.0
16.7071,8.3182,0.5
16.7071,16.6365,1.0
16.7071,33.2729,2.0
16.7071,49.9094,3.0
16.7071,66.5458,4.0
16.7071,83.1823,5.0
16.9899,8.3883,0.5
16.9899,16.7767,1.0
16.9899,33.5534,2.0
16.9899,50.3301,3.0
16.9899,67.1067,4.0
16.9899,83.8834,5.0
17.2727,8.4579,0.5
17.2727,16.9157,1.0
17.2727,33.8315,2.0
17.2727,50.7472,3.0
17.2727,67.663,4.0
17.2727,84.5787,5.0
17.5556,8.5268,0.5
17.5556,17.0537,1.0
17.5556,34.1074,2.0
17.5556,51.161,3.0
17.5556,68.2147,4.0
17.5556,85.2684,5.0
17.8384,8.5952,0.5
17.8384,17.1905,1.0
17.8384,34.381,2.0
17.8384,51.5715,3.0
17.8384,68.762,4.0
17.8384,85.9525,5.0
18.1212,8.6631,0.5
18.1212,17.3262,1.0
18.1212,34.6525,2.0
18.1212,51.9787,3.0
18.1212,69.305,4.0
18.1212,86.6312,5.0
18.404,8.7305,0.5
18.404,17.4609,1.0
18.404,34.9219,2.0
18.404,52.3828,3.0
18.404,69.8437,4.0
18.404,87.3046,5.0
18.6869,8.7973,0.5
18.6869,17.5946,1.0
18.6869,35.1892,2.0
18.6869,52.7838,3.0
18.6869,70.3783,4.0
18.6869,87.9729,5.0
18.9697,8.8636,0.5
18.9697,17.7272,1.0
18.9697,35.4545,2.0
18.9697,53.1817,3.0
18.9697,70.9089,4.0
18.9697,88.6362,5.0
19.2525,8.9294,0.5
19.2525,17.8589,1.0
19.2525,35.7178,2.0
19.2525,53.5767,3.0
19.2525,71.4356,4.0
19.2525,89.2945,5.0
19.5354,8.9948,0.5
19.5354,17.9896,1.0
19.5354,35.9792,2.0
19.5354,53.9688,3.0
19.5354,71.9584,4.0
19.5354,89.948,5.0
19.8182,9.0597,0.5
19.8182,18.1194,1.0
19.8182,36.2387,2.0
19.8182,54.3581,3.0
19.8182,72.4774,4.0
19.8182,90.5968,5.0
20.101,9.1241,0.5
20.101,18.2482,1.0
20.101,36.4964,2.0
20.101,54.7446,3.0
20.101,72.9927,4.0
20.101,91.2409,5.0
20.3838,9.1881,0.5
20.3838,18.3761,1.0
20.3838,36.7522,2.0
20.3838,55.1283,3.0
20.3838,73.5045,4.0
20.3838,91.8806,5.0
20.6667,9.2516,0.5
20.6667,18.5032,1.0
20.6667,37.0063,2.0
20.6667,55.5095,3.0
20.6667,74.0126,4.0
20.6667,92.5158,5.0
20.9495,9.3147,0.5
20.9495,18.6293,1.0
20.9495,37.2587,2.0
20.9495,55.888,3.0
20.9495,74.5174,4.0
20.9495,93.1467,5.0
21.2323,9.3773,0.5
21.2323,18.7547,1.0
21.2323,37.5093,2.0
21.2323,56.264,3.0
21.2323,75.0187,4.0
21.2323,93.7734,5.0
21.5152,9.4396,0.5
21.5152,18.8792,1.0
21.5152,37.7583,2.0
21.5152,56.6375,3.0
21.5152,75.5167,4.0
21.5152,94.3959,5.0
21.798,9.5014,0.5
21.798,19.0029,1.0
21.798,38.0057,2.0
21.798,57.0086,3.0
21.798,76.0114,4.0
21.798,95.0143,5.0
22.0808,9.5629,0.5
22.0808,19.1257,1.0
22.0808,38.2515,2.0
22.0808,57.3772,3.0
22.0808,76.503,4.0
22.0808,95.6287,5.0
22.3636,9.6239,0.5
22.3636,19.2478,1.0
22.3636,38.4957,2.0
22.3636,57.7435,3.0
22.3636,76.9914,4.0
22.3636,96.2392,5.0
22.6465,9.6846,0.5
22.6465,19.3692,1.0
22.6465,38.7383,2.0
22.6465,58.1075,3.0
22.6465,77.4767,4.0
22.6465,96.8458,5.0
22.9293,9.7449,0.5
22.9293,19.4897,1.0
22.9293,38.9795,2.0
22.9293,58.4692,3.0
22.9293,77.959,4.0
22.9293,97.4487,5.0
23.2121,9.8048,0.5
23.2121,19.6096,1.0
23.2121,39.2191,2.0
23.2121,58.8287,3.0
23.2121,78.4383,4.0
23.2121,98.0479,5.0
23.4949,9.8643,0.5
23.4949,19.7287,1.0
23.4949,39.4574,2.0
23.4949,59.186,3.0
23.4949,78.9147,4.0
23.4949,98.6434,5.0
23.7778,9.9235,0.5
23.7778,19.8471,1.0
23.7778,39.6941,2.0
23.7778,59.5412,3.0
23.7778,79.3883,4.0
23.7778,99.2353,5.0
24.0606,9.9824,0.5
24.0606,19.9648,1.0
24.0606,39.9295,2.0
24.0606,59.8943,3.0
24.0606,79.859,4.0
24.0606,99.8238,5.0
24.3434,10.0409,0.5
24.3434,20.0818,1.0
24.3434,40.1635,2.0
24.3434,60.2453,3.0
24.3434,80.327,4.0
24.3434,100.4088,5.0
24.6263,10.099,0.5
24.6263,20.1981,1.0
24.6263,40.3962,2.0
24.6263,60.5942,3.0
24.6263,80.7923,4.0
24.6263,100.9904,5.0
24.9091,10.1569,0.5
24.9091,20.3137,1.0
24.9091,40.6275,2.0
24.9091,60.9412,3.0
24.9091,81.2549,4.0
24.9091,101.5687,5.0
25.1919,10.2144,0.5
25.1919,20.4287,1.0
25.1919,40.8575,2.0
25.1919,61.2862,3.0
25.1919,81.7149,4.0
25.1919,102.1437,5.0
25.4747,10.2715,0.5
25.4747,20.5431,1.0
25.4747,41.0862,2.0
25.4747,61.6293,3.0
25.4747,82.1723,4.0
25.4747,102.7154,5.0
25.7576,10.3284,0.5
25.7576,20.6568,1.0
25.7576,41.3136,2.0
25.7576,61.9704,3.0
25.7576,82.6272,4.0
25.7576,103.284,5.0
26.0404,10.385,0.5
26.0404,20.7699,1.0
26.0404,41.5398,2.0
26.0404,62.3097,3.0
26.0404,83.0796,4.0
26.0404,103.8495,5.0
26.3232,10.4412,0.5
26.3232,20.8824,1.0
26.3232,41.7648,2.0
26.3232,62.6472,3.0
26.3232,83.5296,4.0
26.3232,104.412,5.0
26.6061,10.4971,0.5
26.6061,20.9943,1.0
26.6061,41.9886,2.0
26.6061,62.9828,3.0
26.6061,83.9771,4.0
26.6061,104.9714,5.0
26.8889,10.5528,0.5
26.8889,21.1056,1.0
26.8889,42.2111,2.0
26.8889,63.3167,3.0
26.8889,84.4223,4.0
26.8889,105.5279,5.0
27.1717,10.6081,0.5
27.1717,21.2163,1.0
27.1717,42.4326,2.0
27.1717,63.6488,3.0
27.1717,84.8651,4.0
27.1717,106.0814,5.0
27.4545,10.6632,0.5
27.4545,21.3264,1.0
27.4545,42.6528,2.0
27.4545,63.9792,3.0
27.4545,85.3057,4.0
27.4545,106.6321,5.0
27.7374,10.718,0.5
27.7374,21.436,1.0
27.7374,42.872,2.0
27.7374,64.308,3.0
27.7374,85.7439,4.0
27.7374,107.1799,5.0
28.0202,10.7725,0.5
28.0202,21.545,1.0
28.0202,43.09,2.0
28.0202,64.635,3.0
28.0202,86.18,4.0
28.0202,107.725,5.0
28.303,10.8267,0.5
28.303,21.6535,1.0
28.303,43.3069,2.0
28.303,64.9604,3.0
28.303,86.6138,4.0
28.303,108.2673,5.0
28.5859,10.8807,0.5
28.5859,21.7614,1.0
28.5859,43.5228,2.0
28.5859,65.2841,3.0
28.5859,87.0455,4.0
28.5859,108.8069,5.0
28.8687,10.9344,0.5
28.8687,21.8688,1.0
28.8687,43.7375,2.0
28.8687,65.6063,3.0
28.8687,87.4751,4.0
28.8687,109.3438,5.0
29.1515,10.9878,0.5
29.1515,21.9756,1.0
29.1515,43.9513,2.0
29.1515,65.9269,3.0
29.1515,87.9025,4.0
29.1515,109.8781,5.0
29.4343,11.041,0.5
29.4343,22.082,1.0
29.4343,44.164,2.0
29.4343,66.2459,3.0
29.4343,88.3279,4.0
29.4343,110.4099,5.0
29.7172,11.0939,0.5
29.7172,22.1878,1.0
29.7172,44.3756,2.0
29.7172,66.5634,3.0
29.7172,88.7512,4.0
29.7172,110.9391,5.0
30.0,11.1466,0.5
30.0,22.2931,1.0
30.0,44.5863,2.0
30.0,66.8794,3.0
30.0,89.1726,4.0
30.0,111.4657,5.0
